build,dataset,trees,worker,buffer,threads,features,real_time_ns,cpu_time_ns,iterations,items_per_second
release,higgs_d6_n500,500,branch,compact,nothread,28,3864.0362247312555,3863.700281389374,179822,258796.74564115924
release,higgs_d6_n500,500,bitmask,compact,nothread,28,112675.7004420964,112673.93315649868,5655,8875.028032454044
release,higgs_d6_n500,500,branch,compact,1,28,4119.5674301924955,4119.127636110585,169568,242743.93293600559
release,higgs_d6_n500,500,bitmask,compact,1,28,112750.32541054538,112750.80099009897,6060,8869.154003403624
release,higgs_d6_n500,500,branch,compact,2,28,2258.2103064046482,2258.217975350596,301346,442828.551957202
release,higgs_d6_n500,500,bitmask,compact,2,28,57926.07579098394,57922.70644755746,11136,17263.38244641885
release,higgs_d6_n500,500,branch,compact,4,28,1308.2291606861895,1308.1471045208384,530344,764392.072926644
release,higgs_d6_n500,500,bitmask,compact,4,28,30572.886688132527,30571.61349036405,22416,32708.72031812978
release,higgs_d6_n500,500,branch,tree,nothread,28,5355.278340520133,5354.9030125594645,128429,186731.65733209578
release,higgs_d6_n500,500,bitmask,tree,nothread,28,109377.83905786996,109375.82697201014,6288,9142.61982695523
release,higgs_d6_n500,500,branch,tree,1,28,5603.448750384972,5603.379803744294,120557,178461.52334868725
release,higgs_d6_n500,500,bitmask,tree,1,28,118641.85375190516,118633.42055103095,5771,8428.72871904989
release,higgs_d6_n500,500,branch,tree,2,28,3111.1199195755185,3110.844626427468,234332,321427.6613729631
release,higgs_d6_n500,500,bitmask,tree,2,28,61480.890170837316,61480.75220919745,11090,16265.216674991105
release,higgs_d6_n500,500,branch,tree,4,28,1548.6080259798182,1548.5478467986527,445453,645741.1967546088
release,higgs_d6_n500,500,bitmask,tree,4,28,32746.114663157627,32745.932669816088,21803,30537.974055440885
release,higgs_d6_n5000,5000,branch,compact,nothread,28,66203.25948938502,66200.20993056215,10513,15104.996456561768
release,higgs_d6_n5000,5000,bitmask,compact,nothread,28,1131575.1750330853,1131542.609400324,617,883.7238762955027
release,higgs_d6_n5000,5000,branch,compact,1,28,66281.43782596622,66281.63874450218,10004,15087.180254382518
release,higgs_d6_n5000,5000,bitmask,compact,1,28,1131150.9787911384,1131145.5579119085,613,884.0552841749741
release,higgs_d6_n5000,5000,branch,compact,2,28,34532.80808361609,34530.146100590486,19644,28957.969406329423
release,higgs_d6_n5000,5000,bitmask,compact,2,28,587458.9123753048,587378.5718157178,1107,1702.2467085513183
release,higgs_d6_n5000,5000,branch,compact,4,28,39115.70205719077,39115.00463999999,43750,25565.180922431293
release,higgs_d6_n5000,5000,bitmask,compact,4,28,294591.0075503425,294581.6860245522,2118,3394.53674542021
release,higgs_d6_n5000,5000,branch,tree,nothread,28,87992.29031756704,87983.5635150446,7943,11364.632019361781
release,higgs_d6_n5000,5000,bitmask,tree,nothread,28,1160567.9268739265,1160514.8843537394,588,861.6471098710889
release,higgs_d6_n5000,5000,branch,tree,1,28,93294.15506014775,93288.77004023499,6462,10718.785108834409
release,higgs_d6_n5000,5000,bitmask,tree,1,28,1210074.4021134994,1210019.6243386236,567,826.3954664716597
release,higgs_d6_n5000,5000,branch,tree,2,28,47475.134604156745,47473.078475530565,11545,21063.65802515163
release,higgs_d6_n5000,5000,bitmask,tree,2,28,618791.2472002486,618771.7817164185,1072,1616.0538865482488
release,higgs_d6_n5000,5000,branch,tree,4,28,52567.51604020402,52565.897287622145,36315,19023.154893512423
release,higgs_d6_n5000,5000,bitmask,tree,4,28,312685.9121579941,312684.7360360356,2220,3198.0973913999665
