dataset,features,config,n,blocks,first_ns,rest_ns,poll_ns
higgs,28,config0,500,2,8292,708,9001
higgs,28,config0,1000,4,8188,2244,10433
higgs,28,config0,2000,8,10081,4357,14439
higgs,28,config0,5000,20,17869,12399,30269
higgs,28,config1,500,2,6648,474,7122
higgs,28,config1,1000,4,6628,764,7392
higgs,28,config1,2000,8,6661,998,7660
higgs,28,config1,5000,20,7978,2372,10351
higgs,28,config2,500,2,6884,594,7478
higgs,28,config2,1000,4,6657,858,7516
higgs,28,config2,2000,8,6589,1100,7689
higgs,28,config2,5000,20,8411,2429,10840
epsilon,2000,config0,500,2,10199,1122,11322
epsilon,2000,config0,1000,4,10943,2215,13159
epsilon,2000,config0,2000,8,14148,4690,18839
epsilon,2000,config0,5000,20,23332,19286,42619
epsilon,2000,config1,500,2,8760,561,9321
epsilon,2000,config1,1000,4,9368,985,10353
epsilon,2000,config1,2000,8,11359,1170,12530
epsilon,2000,config1,5000,20,18131,2365,20497
epsilon,2000,config2,500,2,11497,870,12368
epsilon,2000,config2,1000,4,11189,1315,12504
epsilon,2000,config2,2000,8,10964,1476,12441
epsilon,2000,config2,5000,20,12905,2541,15447
